"source_type";"author";"publication_year";"name";"institution";"web_url"
"Website";"Namma Cycle";"NA";"Namma Cycle: Homepage";"Namma Cycle";"http://www.nammacycle.in/"
"Website";"Ride a Cycle";"NA";"Ride a Cycle Foundation";"Ride a Cycle";"http://www.rideacycle.org/"
"Website";"Tel-O-Fun";"NA";"Tel-O-Fun: Subscriptions and Rates";"Tel-O-Fun";"https://www.tel-o-fun.co.il/en/Tariffs.aspx"
"Website";"Tel-O-Fun";"NA";"Tel-O-Fun: Homepage";"Tel-O-Fun";"https://www.tel-o-fun.co.il/en/HomePage.aspx"
"Public web site";"NA";"2016";"Advertise with Kansas City B-cycle";"Kansas City B-Cycle";"https://kansascity.bcycle.com/top-nav-pages/sponsorships/advertise-on-b-cycle"
"Website";"NA";"2012";"Water Heating";"Green Building Advisor";"http://www.greenbuildingadvisor.com/green-basics/water-heating"
"Website";"NA";"NA";"Website";"SafePlumbing.org";"https://www.safeplumbing.org/resources/glossary#faq-26"
"Website";"NA";"NA";"Designing our Future: Sustainable Landscapes";"American Society of Landscape Architects (ASLA)";"https://www.asla.org/sustainablelandscapes/about.html"
"Blog";"NA";"2014";"Green Building 101: What is an integrated process?";"U.S. Green Building Council";"http://www.usgbc.org/articles/green-building-101-what-integrated-process"
"Website";"NA";"NA";"What is District Energy?";"International District energy Association";"http://www.districtenergy.org/what-is-district-energy/"
"Website";"NA";"NA";"FEMA: Building Codes";"FEMA";"https://www.fema.gov/building-codes"
"Website";"NA";"NA";"Why Building Energy Codes?";"U.S. Department of Energy";"https://www.energycodes.gov/about/why-building-energy-codes"
"Website";"NA";"NA";"What is Zoning?";"University of Wisconsin Eau Claire";"http://people.uwec.edu/ivogeler/w270/what_is_zoning.htm"
"Unknown";"Stephen Browne and Roberto Cordon";"2015";"Vertical Funds: Lessons for Multilateralism and the UN";"Future United Nations Development System";"http://www.futureun.org/media/archive1/briefings/FUNDS_Brief25_Jan2015_WHO_GAVI_GF.pdf"
"Website";"NA";"NA";"Coastal and Waterfront Smartgrowth: Floor-to-Area Ratio (FAR) Bonuses";"National Oceanic and Atmospheric Administration";"http://coastalsmartgrowth.noaa.gov/gettingstarted/far_bonuses.html"
"Unknown";"NA";"2007";"Article 37: Green Buildings";"City of Boston";"https://www.cityofboston.gov/images_documents/Article%2037%20Green%20Buildings%20LEED_tcm3-2760.pdf"
"Website";"NA";"2012";"Energy Efficiency Registration Scheme for Building";"Electrical and Mechanical Services Department The Government of the Hong Kong Special Administrative Region";"http://www.emsd.gov.hk/en/energy_efficiency/energy_efficiency_registration_scheme_for_building/"
"Website";"NA";"NA";"Climate Change Actions in Hong Kong: Buildings";"Environmental Protection Department: The Government of the Hong Kong Special Administrative Region";"http://www.epd.gov.hk/epd/english/climate_change/bldg.html"
"Academic Peer Review";"Sam C. M. Hui";"2000";"Building Energy Efficiency Standards in Hong Kong and Mainland China";"Department of Architecture, The University of Hong Kong: Energy and Environmental Policy";"http://aceee.org/files/proceedings/2000/data/papers/SS00_Panel9_Paper17.pdf"
"Unknown";"NA";"2011";"Buildings Energy Efficiency Ordinance (BEEO)";"The Government of the Hong Kong Special Administrative Region";"http://www.legislation.gov.hk/blis_ind.nsf/WebView?OpenAgent&vwpg=CurAllEngDoc*607.1*100*607.1#607.1"
"Case Study";"Unknown";"2015";"Hong Kong Ordinance Drives Energy Efficiency through Strict Codes of Practice and Audits";"C40 Cities";"http://www.c40.org/case_studies/hong-kong-ordinance-drives-energy-efficiency-through-strict-codes-of-practice-and-audits"
"Press Release";"NA";"2015";"LCQ4: Policies and measures to promote green buildings";"The Government of the Hong Kong Special Administrative Region";"http://www.info.gov.hk/gia/general/201505/06/P201505060638.htm"
"Unknown";"NA";"2013";"Buildings Energy Efficiency Ordinance";"The Government of the Hong Kong Special Administrative Region";"http://www.legislation.gov.hk/blis_pdf.nsf/6799165D2FEE3FA94825755E0033E532/4F82C8740A5D73DA482577ED005330F2/$FILE/CAP_610_e_b5.pdf"
"Website";"NA";"NA";"BEAM Plus New Buildings";"Hong Kong Green Building Council";"https://www.hkgbc.org.hk/eng/NB_Intro.aspx"
"Case Study";"Ana Marques,Toni Pujol";"2014";"Barcelona, Spain: Using solar energy - supporting community
energy self sufficiency";"ICLEI";"http://carbonn.org/uploads/tx_carbonndata/ICLEI_cs_173_Barcelona_UrbanLEDS_2014(4).pdf"
"Report";"NA";"2011";"The energy, climate change and air quality plan of Barcelona (PECQ 2011-2020)";"City of Barcelona";"The energy, climate change and air quality plan of Barcelona"
"Case Study";"Unknown";"2011";"Barcelona's Solar Hot Water Ordinance";"C40 Cities";"http://www.c40.org/case_studies/barcelonas-solar-hot-water-ordinance"
"Unknown";"Unknown";"Unknown";"The Solar Thermal Ordinance for Efficient Water Heating in Barcelona";"Center for Clean Air Policy (CCAP)";"http://ccap.org/assets/CCAP-Booklet_Spain.pdf"
"Unknown";"Thomas Pauschinger, et al.";"2009";"Best Practice Implementation of Solar Thermal Ordinances: A STO Developer's Blueprint";"ProSTO Project";"http://www.estif.org/fileadmin/estif/content/projects/prosto/downloads/ProSTO%20Blueprint%20EN.pdf"
"Report";"NA";"2013";"National plan for increasing the number of nearly zero energy buildings in Belgium";"ECOFYS Germany GmbH";"http://www.buildup.eu/sites/default/files/content/Belgium%20Report%20EN_1.pdf"
"Report";"NA";"2013";"Energy performance certificates in buildings and their impact on transaction prices and rents in selected EU countries";"European commission (DE Energy)";"https://ec.europa.eu/energy/sites/ener/files/documents/20130619-energy_performance_certificates_in_buildings.pdf"
;;;;;"http://www.energy-efficiency-watch.org/fileadmin/eew_documents/EEW3/Country_Reports_EEW3/Belgium/Country_Report_Belgium_FINAL__1_.pdf"
"Website";"NA";"2015";"Brussels-Capital Region: Apply PEB Requirements Comparable to the Passive Concept for All New Constructions by 2015";"International Energy Agency (IEA)";"http://www.iea.org/policiesandmeasures/pams/belgium/name-125493-en.php?s=dHlwZT1lZSZzdGF0dXM9T2s,&return=PG5hdiBpZD0iYnJlYWRjcnVtYiI-PGEgaHJlZj0iLyI-SG9tZTwvYT48c3Bhbj4gJmd0OyZndDsgPC9zcGFuPjxhIGhyZWY9Ii9wb2xpY2llc2FuZG1lYXN1cmVzLyI-UG9saWNpZXMgYW5kIE1lYX"
"Website";"NA";"2015";"Energy Performance of Buildings : Brussels goes passive in 2015";"International Energy Agency (IEA)";"http://www.iea.org/policiesandmeasures/pams/belgium/name-21669-en.php?s=dHlwZT1lZSZzdGF0dXM9T2s,&return=PG5hdiBpZD0iYnJlYWRjcnVtYiI-PGEgaHJlZj0iLyI-SG9tZTwvYT4gJnJhcXVvOyA8YSBocmVmPSIvcG9saWNpZXNhbmRtZWFzdXJlcy8iPlBvbGljaWVzIGFuZCBNZWFzdXJlczwvYT4gJnJhcXV"
"Website";"NA";"2007";"Brussels region: Exemplary Buildings contest";"International Energy Agency (IEA)";"http://www.iea.org/policiesandmeasures/pams/belgium/name-24629-en.php?s=dHlwZT1lZSZzdGF0dXM9T2s,&return=PG5hdiBpZD0iYnJlYWRjcnVtYiI-PGEgaHJlZj0iLyI-SG9tZTwvYT48c3Bhbj4gJmd0OyZndDsgPC9zcGFuPjxhIGhyZWY9Ii9wb2xpY2llc2FuZG1lYXN1cmVzLyI-UG9saWNpZXMgYW5kIE1lYXN"
"Website";"NA";"2008";"Advice and support for building professionals: The Facilitator network";"International Energy Agency (IEA)";"http://www.iea.org/policiesandmeasures/pams/belgium/name-24627-en.php?s=dHlwZT1lZSZzdGF0dXM9T2s,&return=PG5hdiBpZD0iYnJlYWRjcnVtYiI-PGEgaHJlZj0iLyI-SG9tZTwvYT4gJnJhcXVvOyA8YSBocmVmPSIvcG9saWNpZXNhbmRtZWFzdXJlcy8iPlBvbGljaWVzIGFuZCBNZWFzdXJlczwvYT4gJnJhcXV"
"Academic Peer Review";"Veit Burger";"2012";"Overview and assessment of new and innovative integrated policy sets that aim at the nZEB standard";"ENTRANZE Project";"http://www.entranze.eu/files/downloads/D5_4/Entranze_D5.4_05-2012_final.pdf"
"Website";"NA";"1999";"Entreprise Ecodynamique (Ecodynamic Company) - Brussels-Capital";"International Energy Agency (IEA)";"http://www.iea.org/policiesandmeasures/pams/belgium/name-24625-en.php?s=dHlwZT1lZSZzdGF0dXM9T2s,&return=PG5hdiBpZD0iYnJlYWRjcnVtYiI-PGEgaHJlZj0iLyI-SG9tZTwvYT48c3Bhbj4gJmd0OyZndDsgPC9zcGFuPjxhIGhyZWY9Ii9wb2xpY2llc2FuZG1lYXN1cmVzLyI-UG9saWNpZXMgYW5kIE1lYXN"
"Website";"NA";"NA";"Focus on sustainable and innovative procurement (procurement plan)";"Government of Flanders";"https://overheid.vlaanderen.be/beleid-duurzame-overheidsopdrachten"
"Unknown";"NA";"2010";"Promoting Energy Efficiency in Buildings";"UNDP GEF Project Turkey";"http://www.tr.undp.org/content/dam/turkey/docs/projectdocuments/EnvSust/project_00074059/EEbuildings.pdf?download"
"Report";"NA";"2015";"Green Building City Market Briefs";"C40 Cities, USGBC, and World Green Building Council";"http://www.c40.org/researches/c40-usgbc-and-wgbc-green-building-city-market-brief-compendium"
"Report";"NA";"2011";"National Climate Change Action Plan";"Republic of Turkey Department of Environment and Urbanization";"http://www.preventionweb.net/files/29675_turkeynationalclimatechangeactionpl.pdf"
