"name";"lat";"lng";"population";"iso3";"province"
"Lagos";6.443261653;3.391531071;4733768;"NGA";"Lagos"
"Sariwon";38.50700411;125.7620047;154942;"PRK";"Hwanghae-bukto"
"Sin-Ni";39.48800415;125.4639966;19463;"PRK";"P'yongan-namdo"
"Changyon";38.25173362;125.1020691;44176;"PRK";"Hwanghae-namdo"
"Anbyon";39.02817202;127.5185624;34993.5;"PRK";"Kangwon-do"
"Munchon";39.38130292;127.2517053;73619;"PRK";"Kangwon-do"
"Kaesong";37.96399925;126.5644087;305333.5;"PRK";"Kaesong"
"Chosan";40.82547833;125.8008378;7786;"PRK";"Chagang-do"
"Manpo";41.14543296;126.2958463;186827;"PRK";"Chagang-do"
"Sunchon";39.42360008;125.9389689;400629;"PRK";"P'yongan-namdo"
"Kimhyonggwon";40.81752016;128.1553194;3839;"PRK";"Ryanggang"
"Pyongsan";38.33668968;126.3866418;66260;"PRK";"Hwanghae-bukto"
"Ongjin";37.93710166;125.3570922;66721;"PRK";"Hwanghae-namdo"
"Haeju";38.039421;125.7143831;223313.5;"PRK";"Hwanghae-namdo"
"Kilchu";40.96043133;129.3204162;82408.5;"PRK";"Hamgyong-bukto"
"Musan";42.23043133;129.2303959;50942.5;"PRK";"Hamgyong-bukto"
"Sonbong";42.33768577;130.4027274;44097.5;"PRK";"Hamgyong-bukto"
"Kanggye";40.97322125;126.6032177;254522;"PRK";"Chagang-do"
"Hungnam";39.82313641;127.6231555;548702;"PRK";"Hamgyong-namdo"
"Taedong";40.61709312;125.4501098;1884;"PRK";"P'yongan-bukto"
"Chongju";39.68128461;125.2163256;85417;"PRK";"P'yongan-bukto"
"Hyeson";41.39273053;128.1927331;227461;"PRK";"Ryanggang"
"Nampo";38.76692078;125.4524338;791000;"PRK";"Namp'o-si"
"Chongjin";41.78461875;129.79;499807;"PRK";"Hamgyong-bukto"
"Kimchaek";40.67230939;129.202749;187270;"PRK";"Hamgyong-bukto"
"Hamhung";39.91005617;127.5454341;595670.5;"PRK";"Hamgyong-namdo"
"Wonsan";39.16048952;127.4308158;322425;"PRK";"Kangwon-do"
"Sinuiju";40.08585939;124.4212837;167234;"PRK";"P'yongan-bukto"
"Pyongyang";39.0194387;125.7546907;2899398.5;"PRK";"P'yongyang"
"Kyrenia";35.3259991;33.33300361;26701;"CYN";
"Ammochostos";35.12502525;33.95001013;33016.5;"CYN";
"Capitol Hill";15.21125368;145.7505761;1764;"MNP";
"Arendal";58.46475606;8.766000553;30916;"NOR";"Aust-Agder"
"Vossavangen";60.63000316;6.441003463;5571;"NOR";"Hordaland"
"Leikanger";61.18329612;6.849999471;1965;"NOR";"Sogn og Fjordane"
"Bærum";59.91348606;11.34723651;113659;"NOR";"Akershus"
"Hamar";60.82000207;11.06900156;29479;"NOR";"Hedmark"
"Tønsberg";59.26400109;10.42100147;38914;"NOR";"Vestfold"
"Finnsnes";69.24061729;18.00860592;3611;"NOR";"Troms"
"Gjøvik";60.80002138;10.7000081;20157.5;"NOR";"Oppland"
"Rørvik";64.86801597;11.20530025;2615;"NOR";"Nord-Trøndelag"
"Harstad";68.7879059;16.51557043;19203;"NOR";"Troms"
"Ålesund";62.54541872;6.388023233;45377;"NOR";"Møre og Romsdal"
"Sandnes";58.84541201;5.690029662;46911;"NOR";"Rogaland"
"Drammen";59.75724265;10.19073686;85437.5;"NOR";"Buskerud"
"Moss";59.43697797;10.66915727;35696.5;"NOR";"Ãstfold"
"Steinkjer";64.01706016;11.50001094;11193.5;"NOR";"Nord-Trøndelag"
"Svolvær";68.23328859;14.56669714;4197;"NOR";"Nordland"
"Mo i Rana";66.31660972;14.16666988;19131;"NOR";"Nordland"
"Narvik";68.38315025;17.28999345;19236.5;"NOR";"Nordland"
"Bodø";67.24677227;14.39901132;31383.5;"NOR";"Nordland"
"Haugesund";59.4119149;5.277496703;36219.5;"NOR";"Rogaland"
"Stavanger";58.97000389;5.680004434;136999;"NOR";"Rogaland"
"Skien";59.19998985;9.600023558;73330;"NOR";"Telemark"
"Namsos";64.48331077;11.50001094;9035;"NOR";"Nord-Trøndelag"
"Alta";69.96664532;23.24167151;12077;"NOR";"Finnmark"
"Vadsø";70.09659678;29.76574927;5139;"NOR";"Finnmark"
"Molde";62.74830039;7.183323526;16171.5;"NOR";"Møre og Romsdal"
"Lillehammer";61.13328269;10.5000203;19319;"NOR";"Oppland"
"Kirkenes";69.72500633;30.05164343;2728;"NOR";"Finnmark"
